> Task :compileJava UP-TO-DATE
> Task :processResources UP-TO-DATE
> Task :classes UP-TO-DATE
> Task :compileTestJava UP-TO-DATE
> Task :processTestResources UP-TO-DATE
> Task :testClasses UP-TO-DATE

> Task :deployStormTest

DeployStormClientDemoTest > 배포_절단과_재접속_폭풍을_기록한다() STANDARD_OUT
    EVT|1786973269453|harness|START|mode=naive clients=30

DeployStormClientDemoTest > 배포_절단과_재접속_폭풍을_기록한다() STANDARD_ERROR
    SLF4J(W): A number (1) of logging calls during the initialization phase have been intercepted and are
    SLF4J(W): now being replayed. These are subject to the filtering rules of the underlying logging system.
    SLF4J(W): See also https://www.slf4j.org/codes.html#replay

DeployStormClientDemoTest > 배포_절단과_재접속_폭풍을_기록한다() STANDARD_OUT
    EVT|1786973269676|observer|OBSERVING|12f5e092-5fc0-ad67-ac4e-789a0eec2f27
    EVT|1786973269708|26|CONNECT_OK|initial
    EVT|1786973269708|4|CONNECT_OK|initial
    EVT|1786973269708|24|CONNECT_OK|initial
    EVT|1786973269708|11|CONNECT_OK|initial
    EVT|1786973269709|30|CONNECT_OK|initial
    EVT|1786973269709|6|CONNECT_OK|initial
    EVT|1786973269709|17|CONNECT_OK|initial
    EVT|1786973269708|8|CONNECT_OK|initial
    EVT|1786973269709|7|CONNECT_OK|initial
    EVT|1786973269709|19|CONNECT_OK|initial
    EVT|1786973269709|2|CONNECT_OK|initial
    EVT|1786973269709|25|CONNECT_OK|initial
    EVT|1786973269709|1|CONNECT_OK|initial
    EVT|1786973269708|14|CONNECT_OK|initial
    EVT|1786973269709|9|CONNECT_OK|initial
    EVT|1786973269708|18|CONNECT_OK|initial
    EVT|1786973269708|23|CONNECT_OK|initial
    EVT|1786973269708|10|CONNECT_OK|initial
    EVT|1786973269710|15|CONNECT_OK|initial
    EVT|1786973269710|3|CONNECT_OK|initial
    EVT|1786973269710|21|CONNECT_OK|initial
    EVT|1786973269709|20|CONNECT_OK|initial
    EVT|1786973269709|27|CONNECT_OK|initial
    EVT|1786973269711|28|CONNECT_OK|initial
    EVT|1786973269709|16|CONNECT_OK|initial
    EVT|1786973269709|13|CONNECT_OK|initial
    EVT|1786973269709|12|CONNECT_OK|initial
    EVT|1786973269709|29|CONNECT_OK|initial
    EVT|1786973269712|5|CONNECT_OK|initial
    EVT|1786973269710|22|CONNECT_OK|initial
    EVT|1786973269769|harness|READY|connected=30
    EVT|1786973276448|20|DISCONNECTED|
    EVT|1786973276448|23|DISCONNECTED|
    EVT|1786973276449|2|DISCONNECTED|
    EVT|1786973276449|13|DISCONNECTED|
    EVT|1786973276449|4|DISCONNECTED|
    EVT|1786973276449|19|DISCONNECTED|
    EVT|1786973276449|25|DISCONNECTED|
    EVT|1786973276449|14|DISCONNECTED|
    EVT|1786973276449|12|DISCONNECTED|
    EVT|1786973276449|8|DISCONNECTED|
    EVT|1786973276449|28|DISCONNECTED|
    EVT|1786973276449|1|DISCONNECTED|
    EVT|1786973276449|26|DISCONNECTED|
    EVT|1786973276449|10|DISCONNECTED|
    EVT|1786973276449|6|DISCONNECTED|
    EVT|1786973276449|17|DISCONNECTED|
    EVT|1786973276450|7|DISCONNECTED|
    EVT|1786973276449|3|DISCONNECTED|
    EVT|1786973276450|9|DISCONNECTED|
    EVT|1786973276449|27|DISCONNECTED|
    EVT|1786973276450|11|DISCONNECTED|
    EVT|1786973276449|24|DISCONNECTED|
    EVT|1786973276451|29|DISCONNECTED|
    EVT|1786973276453|30|DISCONNECTED|
    EVT|1786973276451|21|DISCONNECTED|
    EVT|1786973276451|16|DISCONNECTED|
    EVT|1786973276450|18|DISCONNECTED|
    EVT|1786973276450|5|DISCONNECTED|
    EVT|1786973276450|22|DISCONNECTED|
    EVT|1786973276451|15|DISCONNECTED|
    EVT|1786973276455|observer|CLOSE_CODE|1006 reason=null
    EVT|1786973277462|27|ATTEMPT_FAIL|ExecutionException
